study_accession	field	n_records	structured_nonnull_frac	verdict
PRJNA203566	smoking_status	10	0.0	needs_paper
PRJNA203566	ast	10	0.0	needs_paper
PRJNA203567	country	4	0.0	needs_paper
PRJNA203567	collection_date	4	0.0	needs_paper
PRJNA203567	isolation_source	4	0.0	needs_paper
PRJNA203567	host	4	0.0	needs_paper
PRJNA203567	cf_status	4	0.0	needs_paper
PRJNA203567	smoking_status	4	0.0	needs_paper
PRJNA203567	ast	4	0.0	needs_paper
PRJNA203569	country	10	0.0	needs_paper
PRJNA203569	collection_date	10	0.0	needs_paper
PRJNA203569	isolation_source	10	0.0	needs_paper
PRJNA203569	host	10	0.0	needs_paper
PRJNA203569	cf_status	10	0.0	needs_paper
PRJNA203569	smoking_status	10	0.0	needs_paper
PRJNA203569	ast	10	0.0	needs_paper
PRJNA203570	country	4	0.0	needs_paper
PRJNA203570	collection_date	4	0.0	needs_paper
PRJNA203570	isolation_source	4	0.0	needs_paper
PRJNA203570	host	4	0.0	needs_paper
PRJNA203570	cf_status	4	0.0	needs_paper
PRJNA203570	smoking_status	4	0.0	needs_paper
PRJNA203570	ast	4	0.0	needs_paper
PRJNA203571	country	10	0.0	needs_paper
PRJNA203571	collection_date	10	0.0	needs_paper
PRJNA203571	isolation_source	10	0.0	needs_paper
PRJNA203571	host	10	0.0	needs_paper
PRJNA203571	cf_status	10	0.0	needs_paper
PRJNA203571	smoking_status	10	0.0	needs_paper
PRJNA203571	ast	10	0.0	needs_paper
PRJNA203572	country	10	0.0	needs_paper
PRJNA203572	collection_date	10	0.0	needs_paper
PRJNA203572	isolation_source	10	0.0	needs_paper
PRJNA203572	host	10	0.0	needs_paper
PRJNA203572	cf_status	10	0.0	needs_paper
PRJNA203572	smoking_status	10	0.0	needs_paper
PRJNA203572	ast	10	0.0	needs_paper
PRJNA231221	country	11	1.0	answered_by_data
PRJNA231221	collection_date	11	0.0	needs_paper
PRJNA231221	isolation_source	11	0.273	partial
PRJNA231221	host	11	0.0	needs_paper
PRJNA231221	cf_status	11	0.0	needs_paper
PRJNA231221	smoking_status	11	0.0	needs_paper
PRJNA231221	ast	11	0.0	needs_paper
PRJNA268101	country	9	1.0	answered_by_data
PRJNA268101	collection_date	9	1.0	answered_by_data
PRJNA268101	isolation_source	9	1.0	answered_by_data
PRJNA268101	host	9	1.0	answered_by_data
PRJNA268101	cf_status	9	0.0	needs_paper
PRJNA268101	smoking_status	9	0.0	needs_paper
PRJNA268101	ast	9	0.0	needs_paper
PRJNA297030	country	10	1.0	answered_by_data
PRJNA297030	collection_date	10	1.0	answered_by_data
PRJNA297030	isolation_source	10	0.8	answered_by_data
PRJNA297030	host	10	0.6	partial
PRJNA297030	cf_status	10	0.0	needs_paper
PRJNA297030	smoking_status	10	0.0	needs_paper
PRJNA297030	ast	10	0.0	needs_paper
PRJNA315990	country	39	1.0	answered_by_data
PRJNA315990	collection_date	39	1.0	answered_by_data
PRJNA315990	isolation_source	39	0.333	partial
PRJNA315990	host	39	1.0	answered_by_data
PRJNA315990	cf_status	39	0.0	needs_paper
PRJNA315990	smoking_status	39	0.0	needs_paper
PRJNA315990	ast	39	0.0	needs_paper
PRJNA319839	country	619	1.0	answered_by_data
PRJNA319839	collection_date	619	1.0	answered_by_data
PRJNA319839	isolation_source	619	1.0	answered_by_data
PRJNA319839	host	619	1.0	answered_by_data
PRJNA319839	cf_status	619	0.317	partial
PRJNA319839	smoking_status	619	0.0	needs_paper
PRJNA319839	ast	619	0.0	needs_paper
PRJNA323571	country	2	1.0	answered_by_data
PRJNA323571	collection_date	2	0.0	needs_paper
PRJNA323571	isolation_source	2	0.5	partial
PRJNA323571	host	2	1.0	answered_by_data
PRJNA323571	cf_status	2	0.0	needs_paper
PRJNA323571	smoking_status	2	0.0	needs_paper
PRJNA323571	ast	2	0.0	needs_paper
PRJNA347845	country	2	0.5	partial
PRJNA347845	collection_date	2	0.5	partial
PRJNA347845	isolation_source	2	0.5	partial
PRJNA347845	host	2	0.5	partial
PRJNA347845	cf_status	2	0.0	needs_paper
PRJNA347845	smoking_status	2	0.0	needs_paper
PRJNA347845	ast	2	0.0	needs_paper
PRJNA353361	country	29	0.0	needs_paper
PRJNA353361	collection_date	29	0.0	needs_paper
PRJNA353361	isolation_source	29	0.0	needs_paper
