study_accession	sample_accession	field	ena_value	filled_value	source
PRJEB29740	SAMEA9800439	country		India	whole_field
PRJEB29740	SAMEA9800477	country		India	per_sample
PRJEB29740	SAMEA9800480	country		India	per_sample
PRJEB29740	SAMEA9800446	country		India	per_sample
PRJEB29740	SAMEA9800567	country		India	per_sample
PRJEB29740	SAMEA9800448	country		India	per_sample
PRJEB29740	SAMEA9800574	country		India	per_sample
PRJEB29740	SAMEA9800453	country		India	per_sample
PRJEB29740	SAMEA9800617	country		India	per_sample
PRJEB29740	SAMEA9800619	country		India	per_sample
PRJEB37378	SAMEA10300119	country		Malawi	curator_escalation
PRJEB37378	SAMEA10300130	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302449	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302802	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302451	country		Malawi	curator_escalation
PRJEB37378	SAMEA10300151	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302803	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302454	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302657	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302458	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302664	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302680	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302462	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302684	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302466	country		Malawi	curator_escalation
PRJEB37378	SAMEA10300029	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302826	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302469	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302470	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302642	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302828	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302691	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302473	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302474	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302831	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302694	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302475	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302645	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302836	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302479	country		Malawi	curator_escalation
PRJEB37378	SAMEA10300072	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302838	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302699	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302648	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302839	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302480	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302651	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302841	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302652	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302653	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302520	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302846	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302486	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302711	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302491	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302525	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302852	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302524	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302494	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302857	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302497	country		Malawi	curator_escalation
PRJEB37378	SAMEA10302859	country		Malawi	curator_escalation
