study_accession	paper_short_title	n_isolates	fold	seed
PRJNA219261		1	sub10	
PRJNA376447		1	sub10	
PRJNA379388		1	sub10	
PRJNA219260		1	sub10	
PRJNA315166		1	sub10	
PRJNA219259		1	sub10	
PRJNA219255		1	sub10	
PRJNA219254		1	sub10	
PRJNA219253		1	sub10	
PRJNA219252		1	sub10	
PRJNA391323		1	sub10	
PRJNA391510		1	sub10	
PRJNA391952		1	sub10	
PRJNA219248		1	sub10	
PRJNA393050		1	sub10	
PRJNA219247		1	sub10	
PRJNA218110		1	sub10	
PRJNA213341		1	sub10	
PRJNA219269		1	sub10	
PRJNA353361		1	sub10	
PRJNA219270		1	sub10	
PRJNA219271		1	sub10	
PRJNA315168		1	sub10	
PRJNA219295		1	sub10	
PRJNA219294		1	sub10	
PRJNA219293		1	sub10	
PRJNA318591		1	sub10	
PRJNA320950		1	sub10	
PRJNA219292		1	sub10	
PRJNA323833		1	sub10	
PRJNA323981		1	sub10	
PRJEB13482		1	sub10	
PRJNA219289		1	sub10	
PRJNA219287		1	sub10	
PRJNA328507		1	sub10	
PRJNA219284		1	sub10	
PRJNA219283		1	sub10	
PRJNA339560		1	sub10	
PRJNA219278		1	sub10	
PRJEB12887		1	sub10	
PRJNA219277		1	sub10	
PRJEB26512		1	sub10	
PRJNA343442,PRJNA175243		1	sub10	
PRJNA344449		1	sub10	
PRJNA348457		1	sub10	
PRJNA350242		1	sub10	
PRJNA219276		1	sub10	
PRJNA219275		1	sub10	
PRJNA219272		1	sub10	
PRJNA265257		1	sub10	
PRJNA265255		1	sub10	
PRJEB11876		1	sub10	
PRJNA234203		1	sub10	
PRJNA234190		1	sub10	
PRJNA234191		1	sub10	
PRJNA234192		1	sub10	
PRJNA234193		1	sub10	
PRJNA234194		1	sub10	
PRJNA234195		1	sub10	
PRJNA234196		1	sub10	
PRJNA234197		1	sub10	
PRJNA234198		1	sub10	
PRJNA234199		1	sub10	
PRJNA234200		1	sub10	
PRJNA234201		1	sub10	
PRJNA234202		1	sub10	
PRJNA234204		1	sub10	
PRJNA234188		1	sub10	
PRJNA234205		1	sub10	
PRJNA234206		1	sub10	
PRJNA234207		1	sub10	
PRJNA234208		1	sub10	
PRJNA234209		1	sub10	
PRJNA234210		1	sub10	
PRJNA234211		1	sub10	
PRJNA234212		1	sub10	
PRJNA234213		1	sub10	
PRJNA234215		1	sub10	
PRJNA234216		1	sub10	
PRJNA234217		1	sub10	
PRJNA234218		1	sub10	
PRJNA234189		1	sub10	
PRJNA234187		1	sub10	
PRJNA265254		1	sub10	
PRJNA234171		1	sub10	
PRJNA234136		1	sub10	
PRJNA234137		1	sub10	
PRJNA234140		1	sub10	
PRJNA234141		1	sub10	
PRJNA234142		1	sub10	
PRJNA234143		1	sub10	
PRJNA234144		1	sub10	
PRJNA234148		1	sub10	
PRJNA234149		1	sub10	
PRJNA234157		1	sub10	
PRJNA234168		1	sub10	
PRJNA234169		1	sub10	
