study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA246471,PRJNA353060		2	sub10		2		2				proxy_rowcount
PRJDB15972		2	sub10		2		2				proxy_rowcount
PRJNA494608		2	sub10		2		2				proxy_rowcount
PRJNA353060,PRJNA246471		2	sub10		2		2				proxy_rowcount
PRJEB60070		2	sub10		2		2				proxy_rowcount
PRJNA799011		2	sub10		2		2				proxy_rowcount
PRJNA254477		2	sub10		2		2				proxy_rowcount
PRJNA667843		2	sub10		2		2				proxy_rowcount
PRJEB61973		2	sub10		2		2				proxy_rowcount
PRJNA545765		2	sub10		2		2				proxy_rowcount
PRJEB36448		2	sub10		2		2				proxy_rowcount
PRJEB32059		2	sub10		2		2				proxy_rowcount
PRJNA593828		2	sub10		2		2				proxy_rowcount
PRJNA593956		2	sub10		2		2				proxy_rowcount
PRJNA1064853		2	sub10		2		2				proxy_rowcount
PRJNA719112		2	sub10		2		2				proxy_rowcount
PRJNA719938		2	sub10		2		2				proxy_rowcount
PRJEB60446		2	sub10		2		2				proxy_rowcount
PRJEB60429		2	sub10		2		2				proxy_rowcount
PRJNA684628		2	sub10		2		2				proxy_rowcount
PRJNA738811		2	sub10		2		2				proxy_rowcount
PRJNA475291		2	sub10		2		2				proxy_rowcount
PRJNA780904		2	sub10		2		2				proxy_rowcount
PRJNA689691		2	sub10		2		2				proxy_rowcount
PRJNA436343		2	sub10		2		2				proxy_rowcount
PRJEB75816		2	sub10		2		2				proxy_rowcount
PRJEB38442		2	sub10		2		2				proxy_rowcount
PRJNA1115910		2	sub10		2		2				proxy_rowcount
PRJEB10263		2	sub10		2		2				proxy_rowcount
PRJNA713498		2	sub10		2		2				proxy_rowcount
PRJNA1103093		2	sub10		2		2				proxy_rowcount
PRJNA974066		2	sub10		2		2				proxy_rowcount
PRJNA1101017		2	sub10		2		2				proxy_rowcount
PRJNA770882		2	sub10		2		2				proxy_rowcount
PRJEB8721		2	sub10		2		2				proxy_rowcount
PRJNA971755		2	sub10		2		2				proxy_rowcount
PRJEB75744		2	sub10		2		2				proxy_rowcount
PRJNA564977		2	sub10		2		2				proxy_rowcount
PRJEB71895		2	sub10		2		2				proxy_rowcount
PRJNA398291		2	sub10		2		2				proxy_rowcount
PRJNA530580		2	sub10		2		2				proxy_rowcount
PRJNA1123890		2	sub10		2		2				proxy_rowcount
PRJNA970235		2	sub10		2		2				proxy_rowcount
PRJNA401330		2	sub10		2		2				proxy_rowcount
PRJDB4694		2	sub10		2		2				proxy_rowcount
PRJNA411885		2	sub10		2		2				proxy_rowcount
PRJDB7545		2	sub10		2		2				proxy_rowcount
PRJNA549171		2	sub10		2		2				proxy_rowcount
PRJNA687279		2	sub10		2		2				proxy_rowcount
PRJNA788123		2	sub10		2		2				proxy_rowcount
PRJNA419295		2	sub10		2		2				proxy_rowcount
PRJNA419722		2	sub10		2		2				proxy_rowcount
PRJNA687492		2	sub10		2		2				proxy_rowcount
PRJEB25425		2	sub10		2		2				proxy_rowcount
PRJEB8771		2	sub10		2		2				proxy_rowcount
PRJNA612645		2	sub10		2		2				proxy_rowcount
PRJEB44490		2	sub10		2		2				proxy_rowcount
PRJEB3353		2	sub10		2		2				proxy_rowcount
PRJNA636827		2	sub10		2		2				proxy_rowcount
PRJNA645027		2	sub10		2		2				proxy_rowcount
PRJEB50707		2	sub10		2		2				proxy_rowcount
PRJNA628849		2	sub10		2		2				proxy_rowcount
PRJNA610429		2	sub10		2		2				proxy_rowcount
PRJNA837742		2	sub10		2		2				proxy_rowcount
PRJNA300270		2	sub10		2		2				proxy_rowcount
