sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472923,2015-17,South Africa,Human,ERX4785527,Blood,PRJEB33565,ERR4920618
SAMEA7472945,2015-17,South Africa,Human,ERX4785536,Blood,PRJEB33565,ERR4920627
SAMEA7472431,2015-17,Nigeria,Human,ERX4785417,Blood,PRJEB33565,ERR4920508
SAMEA7472927,2015-17,South Africa,Human,ERX4785528,Blood,PRJEB33565,ERR4920619
SAMEA7472268,2015-17,Ethiopia,Human,ERX4785342,Blood,PRJEB33565,ERR4920433
SAMEA7472294,2015-17,Ethiopia,Human,ERX4785356,Blood,PRJEB33565,ERR4920447
SAMEA7472612,2015-17,Pakistan,Human,ERX4785475,Blood,PRJEB33565,ERR4920566
SAMEA7472442,2015-17,Nigeria,Human,ERX4785423,Blood,PRJEB33565,ERR4920514
SAMEA7472611,2015-17,Pakistan,Human,ERX4785474,Blood,PRJEB33565,ERR4920565
SAMEA7472355,2015-17,Nigeria,Human,ERX4785401,Blood,PRJEB33565,ERR4920492
SAMEA7472264,2015-17,Ethiopia,Human,ERX4785339,Blood,PRJEB33565,ERR4920430
SAMEA7472218,2015-17,Ethiopia,Human,ERX4785301,Blood,PRJEB33565,ERR4920392
SAMEA7472492,2015-17,Nigeria,Human,ERX4785443,Blood,PRJEB33565,ERR4920534
SAMEA7472265,2015-17,Ethiopia,Human,ERX4785340,Blood,PRJEB33565,ERR4920431
SAMEA7472305,2015-17,Ethiopia,Human,ERX4785365,Blood,PRJEB33565,ERR4920456
SAMEA7472337,2015-17,Ethiopia,Human,ERX4785393,Blood,PRJEB33565,ERR4920484
SAMEA7472487,2015-17,Nigeria,Human,ERX4785439,Blood,PRJEB33565,ERR4920530
SAMEA7472260,2015-17,Ethiopia,Human,ERX4785335,Blood,PRJEB33565,ERR4920426
SAMEA7472470,2015-17,Nigeria,Human,ERX4785431,Blood,PRJEB33565,ERR4920522
SAMEA7472793,2015-17,Pakistan,Human,ERX4785497,Blood,PRJEB33565,ERR4920588
SAMEA7472465,2015-17,Nigeria,Human,ERX4785429,Blood,PRJEB33565,ERR4920520
SAMEA7472538,2015-17,Pakistan,Human,ERX4785459,Blood,PRJEB33565,ERR4920550
SAMEA7472409,2015-17,Nigeria,Human,ERX4785412,Blood,PRJEB33565,ERR4920503
SAMEA7472223,2015-17,Ethiopia,Human,ERX4785304,Blood,PRJEB33565,ERR4920395
SAMEA7472202,2015-17,Bangladesh,Human,ERX4785297,Blood,PRJEB33565,ERR4920388
SAMEA7472161,2015-17,Bangladesh,Human,ERX4785290,Blood,PRJEB33565,ERR4920381
SAMEA7472175,2015-17,Bangladesh,Human,ERX4785293,Blood,PRJEB33565,ERR4920384
SAMEA7472613,2015-17,Pakistan,Human,ERX4785476,Blood,PRJEB33565,ERR4920567
SAMEA7472227,2015-17,Ethiopia,Human,ERX4785307,Blood,PRJEB33565,ERR4920398
SAMEA7472318,2015-17,Ethiopia,Human,ERX4785375,Blood,PRJEB33565,ERR4920466
SAMEA7472371,2015-17,Nigeria,Human,ERX4785404,Blood,PRJEB33565,ERR4920495
SAMEA7472279,2015-17,Ethiopia,Human,ERX4785348,Blood,PRJEB33565,ERR4920439
SAMEA7472928,2015-17,South Africa,Human,ERX4785529,Blood,PRJEB33565,ERR4920620
SAMEA7472468,2015-17,Nigeria,Human,ERX4785430,Blood,PRJEB33565,ERR4920521
SAMEA7472910,2015-17,Rwanda,Human,ERX4785521,Blood,PRJEB33565,ERR4920612
SAMEA7472288,2015-17,Ethiopia,Human,ERX4785352,Blood,PRJEB33565,ERR4920443
SAMEA7472603,2015-17,Pakistan,Human,ERX4785472,Blood,PRJEB33565,ERR4920563
SAMEA7472330,2015-17,Ethiopia,Human,ERX4785386,Blood,PRJEB33565,ERR4920477
SAMEA7472558,2015-17,Pakistan,Human,ERX4785461,Blood,PRJEB33565,ERR4920552
SAMEA7472508,2015-17,Nigeria,Human,ERX4785451,Blood,PRJEB33565,ERR4920542
SAMEA7472481,2015-17,Nigeria,Human,ERX4785438,Blood,PRJEB33565,ERR4920529
SAMEA7472235,2015-17,Ethiopia,Human,ERX4785313,Blood,PRJEB33565,ERR4920404
SAMEA7472542,2015-17,Pakistan,Human,ERX4785460,Blood,PRJEB33565,ERR4920551
SAMEA7472107,2015-17,Bangladesh,Human,ERX4785287,Blood,PRJEB33565,ERR4920378
SAMEA7472888,2015-17,Rwanda,Human,ERX4785514,Blood,PRJEB33565,ERR4920605
SAMEA7472635,2015-17,Pakistan,Human,ERX4785479,Blood,PRJEB33565,ERR4920570
SAMEA7472267,2015-17,Ethiopia,Human,ERX4785341,Blood,PRJEB33565,ERR4920432
SAMEA7472570,2015-17,Pakistan,Human,ERX4785464,Blood,PRJEB33565,ERR4920555
SAMEA7472886,2015-17,Rwanda,Human,ERX4785513,Blood,PRJEB33565,ERR4920604
SAMEA7472254,2015-17,Ethiopia,Human,ERX4785330,Blood,PRJEB33565,ERR4920421
