study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB28400	SAMEA5378268	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378272	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378274	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378295	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378300	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378304	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378312	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378315	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378321	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378345	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378350	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378333	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378336	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378338	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378340	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378353	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378356	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378360	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378370	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378373	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378386	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378390	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378398	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378399	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378408	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378417	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378419	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378436	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378437	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378447	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378463	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378483	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378498	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378500	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378516	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378517	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378519	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378520	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378531	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378533	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378535	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378539	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378547	country		Viet Nam	whole_field	
PRJEB28400	SAMEA5378561	country		Viet Nam	whole_field	
