paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
Dissemination of carbapenemase-producing Enterobacterales in Ireland from 2012 to 2017: a retrospective genomic surveillance study Open Access,irish_cpe_surveillance,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000924,Aaron,200,330,"PRJEB24082, PRJEB19435, PRJEB22264, PRJEB19229, PRJEB24083, PRJEB24084, PRJEB24085, PRJEB24086 and PRJEB24087",AMR,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,Ready to merge file is under ENA_projects / PRJEB24082 (Incl. PRJEB19229 with only 88 samples); typo in the ready-to-merge file. Please check if now processed.,,,I contacted Catherine Ludden. Artur helped to extract the meta data.,Meta and AST data available in supplementary table; all isolates are from Ireland; Led by Catherine Ludden; I imagine we could get extra data,,
A large-scale genomic snapshot of Klebsiella spp. isolates in Northern Italy reveals limited transmission between clinical and non-clinical settings;,northern_italy_ghana_one_health,https://www.nature.com/articles/s41564-022-01263-0; https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(23)00208-2/fulltext,Aaron,5413,3482,PRJEB27342,surveillance,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,,,,There are still >1000 genomes unaccounted for,"Pavia, Italy and Ghana; complete set of metadata downloaded. Only 3,483. Perhaps more publications to follow","no; 2,870 out of 3,482 category 0","hospital, environment, animal"
"Population structure and antimicrobial resistance among Klebsiella isolates sampled from human, animal, and environmental sources in Ghana: a cross-sectional genomic One Health study",ghana_one_health,https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(23)00208-2/fulltext,Aaron,5413,573,PRJEB27342,surveillance,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,,,,,"573 genomes were retained, but the paper DA has now linked shows 425 isolates",,"hospital, environment, animal"
Clones and Clusters of Antimicrobial-Resistant Klebsiella From Southwestern Nigeria also Neonatal Klebsiella Published on Pathogenwatch,ghru_nigeria,https://pmc.ncbi.nlm.nih.gov/articles/PMC8634535/; https://pathogen.watch/collection/klebnet-neonatal-sepsis,Aaron,778,139,PRJEB29739,surveillance,,part of Pathogenwatch neonatal collection,0,0,0,0,TRUE,TRUE,TRUE,TRUE,Little metadata - country = Nigeria hard coded for those missing https://www.ebi.ac.uk/ena/browser/view/PRJEB29739,,,David Aenensen GHRU ton enquire about additional isolate meta data,mostly unpublished; Nigeria (see also from this BioProject: https://pmc.ncbi.nlm.nih.gov/articles/PMC10714947/ and https://www.biorxiv.org/content/10.1101/2024.12.02.626058v1.full),,
Complexity of Genomic Epidemiology of Carbapenem-Resistant Klebsiella pneumoniae Isolates in Colombia Urges the Reinforcement of Whole Genome Sequencing-Based Surveillance Programs,columbia_cpe_surveillance,https://pubmed.ncbi.nlm.nih.gov/34850835/,Aaron/David,425,425,PRJEB29742,AMR,,"Neonate, children, and adults; has sample level age info in dataset S2",0,0,0,0,TRUE,TRUE,TRUE,TRUE,,,,,Colombia; most of the missing metadata is in the microreact,cpe,
High Prevalence of Klebsiella pneumoniae in European Food Products: a Multicentric Study Comparing Culture and Molecular Detection Methods,european_food_products,https://journals.asm.org/doi/full/10.1128/spectrum.02376-21,Aaron,162,131,PRJEB34643,surveillance,,No human data; food-derived pathogen,1,0.81,0.81,0,,,,TRUE,Set host to chicken/salad as inferred from isolation source but it's a judgement call whether this represents the host or might just be contamination. In the ATB 2024 IR 41 extra Danish samples were added without meta data after publication of the original study.,,,,31 genomes unaccounted for in publication,,chicken and salad food products
"Diversity of Salmonella enterica isolates from urban river and sewage water in Blantyre, Malawi.",uganda_and_malawi_amr,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0012413,Aaron,1595,6508,PRJEB37378,AMR,,unclear,0,0,0,0,FALSE,FALSE,FALSE,FALSE,"No metadata available - study in Malawi/Uganda, mixed host and iso_source and year unknown. Have coded country = Malawi. ",,,check who set up this study: probably Nick Thomson; study registered in 2022,,ESBLs,human and animal
"Characterization of Klebsiella pneumoniae complex isolates from pigs and humans in farms in Thailand: population genomic structure, antibiotic resistance and virulence genes",thailand_pig_farms,https://academic.oup.com/jac/article/76/8/2012/6215053#271113930,Aaron,253,253,PRJEB38540,surveillance,,patient age not provided,1,1,1,0,,,TRUE,TRUE,,,,,isolation source is human but should be rectal for both pigs and humans,no,pigs and human farm workers
Unpublished,pakistan_klebsiella,https://pathogen.watch/collection/klebnet-neonatal-sepsis,Aaron,214,227,PRJEB6574,NaN,,26 are part of the neonatal collection,0.83,0.83,0.83,0.83,,,,,,,,,Who set this study up?,,
Real-Time Genomic Surveillance for Enhanced Healthcare Outbreak Detection and Control: Clinical and Economic Impact,pittsburgh_edshat,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaf216/8122482?login=true,Aaron,193,"247 isolates, 188 patients",PRJNA475751,surveillance,,patient age not provided,1,1,0.97,1,,,,,,,,,,ESBLs,hospital patients
